Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NostalG.csproj,File,NostalG.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,NostalG.csproj,File,NostalG.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.cs,44,20,T:System.Windows.Forms.Label,,,,,progLbl.Text = _progName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.cs,44,20,P:System.Windows.Forms.Label.Text,,,,,progLbl.Text = _progName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.cs,42,16,T:System.Windows.Forms.Label,,,,,if (progLbl != null)                  {                      progLbl.Text = _progName;                  }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.cs,23,8,T:System.Windows.Forms.Form,,,,,"public DefaultProgramBar(Form mainForm, string progName) : this()          {              _progName = progName;              if (progLbl != null)              {                  progLbl.Text = _progName;              }          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.cs,28,16,T:System.Windows.Forms.Label,,,,,progLbl.Text = _progName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.cs,28,16,P:System.Windows.Forms.Label.Text,,,,,progLbl.Text = _progName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.cs,26,12,T:System.Windows.Forms.Label,,,,,if (progLbl != null)              {                  progLbl.Text = _progName;              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.cs,18,8,M:System.Windows.Forms.UserControl.#ctor,,,,,public DefaultProgramBar()          {              InitializeComponent();          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,77,44,T:System.Windows.Forms.Button,,,,,closeBtn
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,76,43,T:System.Windows.Forms.Label,,,,,progLbl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,70,12,M:System.Windows.Forms.Control.PerformLayout,,,,,this.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,69,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,68,12,P:System.Windows.Forms.Control.Size,,,,,"this.Size = new System.Drawing.Size(904, 40);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,67,12,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""Normal"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,66,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(this.progLbl);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,66,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.progLbl);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,66,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.progLbl);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,66,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.progLbl);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,65,12,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.closeBtn);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,65,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.closeBtn);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,65,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.closeBtn);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,65,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.closeBtn);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,64,12,P:System.Windows.Forms.Control.BackColor,,,,,"this.BackColor = System.Drawing.Color.FromArgb(((int)(((byte)(0)))), ((int)(((byte)(0)))), ((int)(((byte)(168)))));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,63,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,NostalG.csproj,File,CustomControls\DefaultProgramBar.Designer.cs,63,12,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
